oneway,fclass,miles,startlon,startlat,endlon,endlat
B,residential,0.05734644117,-97.8527080003,30.0857860003,-97.852253,30.0864379998
B,service,0.05959684444,-97.8524799997,30.0863100002,-97.8525019998,30.0871749996
B,service,0.10724460352,-97.8429709002,30.0353623001,-97.8437039996,30.0339419999
F,motorway_link,0.13271336136,-97.8404894,30.0446675997,-97.8399820996,30.0465379998
B,service,0.170750713,-97.8807290001,30.0963510001,-97.8818410002,30.0946370002
B,service,0.16089685917,-97.8219384996,30.0921544001,-97.8222367004,30.0944292001
B,service,0.16845092894,-97.8559688997,30.0739076999,-97.8544252998,30.0759398997
B,service,0.08369169658,-97.8257124002,30.0881328001,-97.8257188996,30.0869177998
B,service,0.07621516444,-97.8717279996,30.0855579997,-97.8716430002,30.0844540001
B,service,0.04120947307,-97.8445288003,30.0842440003,-97.8451869997,30.0844180002
